,stimulus,X,Food_image,Study,HI_LO_fat,food,Total.kcal,CHO_g,PRO_g,Fat_g,CHO_pctKcal,PRO_pctKcal,Fat_pctKcal,Energy_Density,...13,sugar_g,sugar_pct_kcal
14,broccoli,15,broccoli.jpg,CAT,0,Broccoli – raw,34,6.64,2.82,0.37,69.72,20.238,9.109,0.34,NA,1.7,20
15,broccoli cauliflower,14,broccoli cauliflower.jpg,REFCT,0,Broccoli & Cauliflower: raw,30,5.97,2.4,0.235,72.247,19.851,6.668,0.3,NA,1.625,25.54529377
16,brownie,16,brownie.jpg,REFCT,1,Brownie,597,75.619,6.367,33.588,46.996,3.45,48.971,5.97,NA,42.838,36.74684326
17,burger,17,burger.jpg,REFCT,1,"Burger on bun: homemade, 80 % lean,",178.14,12.696,13.236,7.897,28.882,31.063,39.901,1.78,NA,3.13,3.726268107
18,burrito,18,burrito.jpg,DDM,0,Burrito - Amy’s Bean & Cheese,181.76,27.05,6.47,5.294,59.6,14.2,26.2,1.81,NA,1.149,2.369878412
19,cantaloupe,19,cantaloupe.jpg,DDM,0,Cantaloupe,34,8.16,0.84,0.19,86.4,8.301,4.677,0.34,NA,7.86,92.47058824
20,carrotsticks,20,carrotsticks.jpg,CAT,0,Carrot Sticks,41,9.58,0.93,0.24,89.725,6.306,4.9,0.41,NA,4.74,46.24390244
21,celery and carrot sticks,21,celery and carrot sticks.jpg,REFCT,0,Celery & Carrot Sticks,29,6.275,0.81,0.205,85.381,9.378,6.208,0.29,NA,3.568,44.48877805
22,celerysticks,22,celerysticks.jpg,DDM,0,Celery sticks,16,2.97,0.69,0.17,74.25,17.25,9.563,0.16,NA,1.34,38.28571429
23,cheerios,23,cheerios.jpg,CAT,0,Cheerios (dry),367,74.68,11.33,5.9,75.901,10.682,13.456,3.67,NA,6.083,6.099820254
24,Cheese nachos,24,Cheese nachos.jpg,REFCT,1,Cheese Nachos,370,31.854,9.412,22.481,36.144,10.356,53.528,3.7,NA,13.272,19.06232383
25,cheesecubes,25,cheesecubes.jpg,DDM,1,Cheese cubes (mild cheddar),403,1.28,24.9,33.14,1.229,26.383,72.283,4.03,NA,0.48,0.476426799
26,cheezeits,26,cheezeits.jpg,DDM,1,Cheeze-It,509,60.738,8.877,25.396,49.114,7.043,43.912,5.09,NA,0.407,0.321369492
27,cherries,27,cherries.jpg,REFCT,0,Cherries,63,16.01,1.06,0.2,91.486,5.653,2.657,0.63,NA,12.82,81.3968254
28,cherry tomato,28,cherry tomato.jpg,REFCT,0,Cherry tomatoes,18,3.92,0.88,0.2,77.747,11.929,9.3,0.18,NA,2.63,58.44444444
29,chicken nuggets2,29,chicken nuggets2.jpg,REFCT,1,Chicken nuggets w BBQ Sauce,269.387,18.136,12.564,16.193,27.052,19.724,53.305,2.69,NA,11.643,13.0191211
30,chickenfingers,30,chickenfingers.jpg,DDM,1,Chicken fingers - Perdue Crispy Chicken Strips,201.164,15.294,16.4696,8.2348,30.4,32.7,36.9,2.01,NA,0.066,0.084840811
31,chickennoodlesoup,31,chickennoodlesoup.jpg,DDM,0,Chicken noodle soup - Campbell’s Classic,43.6731,5.30608,2.85712,1.22448,48.6,26.2,25.2,0.43,NA,0.685,6.927764153
32,chocolatecoveredpretzels,32,chocolatecoveredpretzels.jpg,DDM,1,Chocolate (dark) covered pretzels - Flipz,525,67.8571,7.14285,25,51.7,5.4,42.9,5.25,NA,30.405,26.485
33,cocktailshrimp,33,cocktailshrimp.jpg,CAT,0,Cocktail shrimp,99,0,20.91,1.08,0,90.188,9.84,0.99,NA,8.819,32.61916871
34,cookies,34,cookies.jpg,REFCT,1,Choc Chip cookies - Entenmann’s,489.96,66.666,3.33,23.33,54.4,2.7,42.9,4.89,NA,33.527,27.31535231
35,corn cob,35,corn cob.jpg,REFCT,0,Corn on Cob,108,25.11,3.32,1.28,83.002,7.501,9.92,1.08,NA,3.59,15.27659574
36,craisins,36,craisins.jpg,CAT,0,Craisins - Ocean Spray,308,82.36,0.07,1.37,96.265,0.076,3.723,3.08,NA,72.56,94.23376623
37,croissant,37,croissant.jpg,CAT,1,Croissant - plain,455,46.841,8.041,26.262,42.092,7.178,50.74,4.55,NA,6.059,5.321938173
38,cucumber slices,38,cucumber slices.jpg,REFCT,0,Cucumber slices,15,3.63,0.65,0.11,86.394,10.573,6.138,0.15,NA,1.67,44.53333333
39,cupcakes am,39,cupcakes am.jpg,REFCT,1,Cupcakes: mini frosted,350.699,56.338,2.817,12.676,64.3,3.2,32.5,3.5,NA,77.846,47.59207492
40,doritos,40,doritos.jpg,CAT,1,Doritos – Nacho Cheese,497,54.64,5.4,28.46,44,4.4,51.6,4.97,NA,1.308,1.054322177
41,doughnuts,41,doughnuts.jpg,REFCT,1,Doughnuts: frosted/ yeast-type,405,48.996,5.673,21.046,48.37,5.565,45.899,4.05,NA,22.801,23.10605773
42,edamame,42,edamame.jpg,DDM,1,Edamame,141,11.05,12.35,6.4,31.896,30.393,37.991,1.41,NA,2.18,7.20661157
43,eggs,43,eggs.jpg,REFCT,1,Eggs: hard boiled,155,1.12,12.58,10.61,2.659,35.386,61.743,1.55,NA,1.12,2.890322581
44,eggsalad,44,eggsalad.jpg,CAT,1,Egg salad,248,2.401,7.651,23.064,3.641,13.403,82.892,2.48,NA,2.653,6.96156445
45,falafelwithpita,45,falafelwithpita.jpg,DDM,1,Falafel w/pita,356.04,32.049,10.7835,22.0813,36.682,10.999,52.325,3.56,NA,1.934,2.41396957
46,french fries,46,french fries.jpg,REFCT,1,French Fries,310,37.51,3.206,17.049,48.72,2.872,48.547,3.1,NA,1.655,2.344591149
47,fried eggs,47,fried eggs.jpg,REFCT,1,Eggs: fried,219,1.217,13.674,17.289,2.042,27.178,70.618,2.19,NA,1.053,2.21134865
48,froot loops w milk,48,froot loops w milk.jpg,REFCT,0,Fruit Loops (3/4 c) w whole milk (4 FO),112.11,17.441,3.247,3.382,61.884,11.36,26.856,1.12,NA,12.913,32.5059786
49,fruitsalad,49,fruitsalad.jpg,CAT,0,Fruit salad,48.2168,10.9213,0.52,0.2716,90.601,4.3138,5.0696,0.48,NA,10.311,81.76843775
50,grahamcrackers,50,grahamcrackers.jpg,CAT,0,Graham crackers - Nabisco Original,437.096,77.4193,6.451612,11.29032,70.9,5.9,23.2,4.37,NA,24.85,23.11627907
51,granola w milk,51,granola w milk.jpg,REFCT,1,Granola (1/2 c) w/ whole milk (2 FO),244.26,29.153,6.672,12.133,47.126,9.827,42.612,2.44,NA,16.083,24.99203605
52,granolabar,52,granolabar.jpg,DDM,1,Granola bar- Nature Valley Crunchy,454.751,69.046,7.1427,16.6663,61,6,33,4.55,NA,26.659,23.7343364
53,grapefruit,53,grapefruit.jpg,DDM,0,Grapefruit,33,8.41,0.69,0.1,91.745,7.025,2.536,0.33,NA,5.73,69.45454545
54,Grapes,54,Grapes.jpg,REFCT,0,Grapes,69,18.1,0.72,0.16,94.435,3.506,1.941,0.69,NA,24.739,52.51075888
55,Grapes,54,Grapes.jpg,REFCT,0,Grapes,69,18.1,0.72,0.16,94.435,3.506,1.941,0.69,NA,15.48,89.73913043
56,green beans,55,green beans.jpg,REFCT,0,Green beans: raw,31,7.13,1.82,0.12,82.11,14.325,3.24,0.31,NA,3.26,42.06451613
57,grilled cheese,56,grilled cheese.jpg,REFCT,1,Grilled cheese,336,29.678,11.621,18.901,36.203,14.296,49.537,3.36,NA,3.701,4.35732156
58,grilled chicken strips,57,grilled chicken strips.jpg,REFCT,0,Grilled chicken strips,173,0,30.91,4.51,0,76.292,23.515,1.73,NA,0,0
59,hashbrowns,58,hashbrowns.jpg,DDM,1,Hash browns,221,28.1,2.401,11.5,51.197,3.018,45.932,2.21,NA,1.268,2.24822695
60,Hershey Kisses,59,Hershey Kisses.jpg,REFCT,1,Hershey’s Kisses,535,59.4,7.65,29.66,44.411,5.72,49.895,5.35,NA,51.5,38.5046729
61,hotdog w must,60,hotdog w must.jpg,REFCT,1,Hot dog on bun w/mustard,265.538,22.899,8.852,15.212,34.922,13.637,51.394,2.65,NA,4.489,6.816827191
62,ice cream sundae 002,61,ice cream sundae 002.jpg,REFCT,1,"Ice cream sundae (ice cream, whip cream, cherry)",223.174,24.696,3.146,12.9,43.029,5.484,51.574,2.23,NA,16.737,39.26522856
63,icecream,62,icecream.jpg,CAT,1,Breyer’s Vanilla Ice cream,192.424,21.212,3.03,10.606,44.09,6.299,49.606,1.92,NA,21.22,41.00483092
64,kettlecorn,63,kettlecorn.jpg,DDM,0,Kettle Corn - Cracker Jacks,421.4,82.1428,7.142856,7.142856,77.9,6.8,15.3,4.21,NA,53.517,50.29627785
65,kitkat,64,kitkat.jpg,DDM,1,Kit Kat,519.046,64.2857,6.4285,26.1904,49.6,5,45.4,5.19,NA,54.67,43.64870259
66,kiwi,65,kiwi.jpg,REFCT,0,Kiwi,61,14.66,1.14,0.52,86.518,6.279,7.135,0.61,NA,8.99,58.95081967
67,lettucesalad,66,lettucesalad.jpg,CAT,0,Lettuce salad,23.5293,4.70588,1.17647,0,80,20,0,0.23,NA,0.631,25.29565043
68,lollipops,67,lollipops.jpg,REFCT,0,Lollipops,394,98,0,0.2,99.492,0,0.457,3.94,NA,62.9,63.85786802
69,lox,68,lox.jpg,DDM,1,Lox,117,0,18.28,4.32,0,66.714,33.305,1.17,NA,0,0
70,luckycharms,69,luckycharms.jpg,CAT,0,Lucky Charms (1C) w/ 1% milk (1/2C),108.05,19.1,4.03,1.452,73.659,14.965,11.547,1.08,NA,18.509,38.20325602
